GeneChip,ProbeSet,ProbeX,ProbeY,PM/MM,PixelX,PixelY,Intensity
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3380,1516,209
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3380,1517,287
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3380,1518,314
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3380,1519,344
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3380,1520,453
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3381,1516,334
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3381,1517,479
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3381,1518,582
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3381,1519,717
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3381,1520,714
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3382,1516,444
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3382,1517,621
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3382,1518,785
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3382,1519,722
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3382,1520,717
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3383,1516,509
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3383,1517,665
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3383,1518,1899
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3383,1519,1780
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3383,1520,1375
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3384,1516,1400
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3384,1517,1210
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3384,1518,1600
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3384,1519,1250
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,448,183,PM,3384,1520,1200
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3152,2290,239
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3152,2291,283
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3152,2292,284
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3152,2293,331
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3152,2294,349
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3153,2290,220
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3153,2291,327
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3153,2292,329
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3153,2293,409
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3153,2294,335
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3154,2290,254
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3154,2291,339
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3154,2292,303
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3154,2293,322
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3154,2294,298
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3155,2290,292
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3155,2291,316
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3155,2292,1837
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3155,2293,1637
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3155,2294,1938
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3156,2290,1591
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3156,2291,2349
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3156,2292,1253
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3156,2293,1900
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,416,293,PM,3156,2294,1789
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,900,3689,296
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,900,3690,429
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,900,3691,485
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,900,3692,522
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,900,3693,513
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,901,3689,334
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,901,3690,551
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,901,3691,581
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,901,3692,679
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,901,3693,653
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,902,3689,368
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,902,3690,601
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,902,3691,684
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,902,3692,731
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,902,3693,730
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,903,3689,417
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,903,3690,575
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,903,3691,1627
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,903,3692,1642
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,903,3693,1709
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,904,3689,1894
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,904,3690,1920
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,904,3691,3841
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,904,3692,2781
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,904,3693,2039
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1799,2595,145
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1799,2596,151
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1799,2597,125
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1799,2598,138
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1799,2599,144
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1800,2595,94
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1800,2596,115
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1800,2597,137
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1800,2598,154
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1800,2599,133
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1801,2595,95
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1801,2596,133
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1801,2597,135
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1801,2598,152
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1801,2599,141
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1802,2595,86
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1802,2596,82
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1802,2597,1984
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1802,2598,2941
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1802,2599,1049
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1803,2595,1948
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1803,2596,19084
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1803,2597,1984
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1803,2598,1634
